iter	Passed	Remaining
0	169	169080
1	179	89622
2	190	63290
3	200	49962
4	211	42023
5	222	36794
6	231	32902
7	243	30156
8	255	28116
9	267	26516
10	279	25091
11	290	23915
12	301	22925
13	312	22036
14	324	21288
15	336	20705
16	348	20127
17	358	19576
18	369	19094
19	381	18701
20	392	18293
21	405	18016
22	417	17752
23	429	17456
24	440	17161
25	452	16960
26	465	16763
27	476	16545
28	488	16361
29	500	16179
30	513	16055
31	528	15974
32	539	15816
33	552	15690
34	564	15560
35	576	15433
36	588	15327
37	602	15264
38	616	15186
39	628	15086
40	641	15001
41	652	14872
42	663	14761
43	675	14669
44	686	14569
45	698	14483
46	710	14411
47	722	14320
48	732	14225
49	745	14162
50	757	14102
51	770	14046
52	782	13987
53	795	13943
54	809	13903
55	821	13856
56	834	13810
57	848	13777
58	860	13719
59	872	13664
60	884	13611
61	896	13566
62	909	13523
63	922	13496
64	935	13462
65	949	13434
66	961	13390
67	974	13352
68	986	13312
69	998	13270
70	1011	13240
71	1025	13213
72	1038	13186
73	1051	13154
74	1064	13123
75	1076	13092
76	1090	13066
77	1103	13043
78	1118	13035
79	1131	13016
80	1146	13003
81	1160	12987
82	1174	12976
83	1187	12952
84	1200	12927
85	1213	12897
86	1224	12846
87	1236	12817
88	1248	12780
89	1259	12731
90	1270	12692
91	1282	12659
92	1294	12625
93	1306	12591
94	1319	12569
95	1332	12543
96	1343	12507
97	1354	12469
98	1368	12459
99	1382	12440
100	1395	12419
101	1406	12386
102	1420	12370
103	1433	12349
104	1446	12327
105	1458	12301
106	1470	12269
107	1482	12246
108	1494	12217
109	1506	12190
110	1518	12161
111	1530	12136
112	1542	12110
113	1554	12081
114	1566	12056
115	1580	12041
116	1592	12020
117	1604	11992
118	1616	11965
119	1628	11943
120	1642	11931
121	1655	11917
122	1668	11895
123	1681	11879
124	1694	11859
125	1707	11845
126	1720	11824
127	1732	11804
128	1745	11786
129	1758	11767
130	1770	11744
131	1782	11720
132	1794	11696
133	1805	11671
134	1817	11646
135	1830	11626
136	1843	11611
137	1857	11600
138	1870	11588
139	1884	11576
140	1897	11560
141	1910	11544
142	1924	11536
143	1937	11519
144	1951	11505
145	1963	11486
146	1976	11470
147	1989	11455
148	2003	11440
149	2016	11426
150	2028	11406
151	2041	11392
152	2055	11377
153	2068	11364
154	2081	11348
155	2094	11333
156	2112	11342
157	2125	11325
158	2139	11318
159	2153	11305
160	2167	11295
161	2180	11278
162	2191	11253
163	2203	11230
164	2214	11205
165	2224	11176
166	2235	11150
167	2246	11127
168	2257	11100
169	2268	11075
170	2279	11051
171	2289	11021
172	2301	11001
173	2312	10977
174	2322	10950
175	2334	10929
176	2345	10905
177	2355	10876
178	2366	10852
179	2377	10829
180	2387	10802
181	2398	10779
182	2410	10760
183	2421	10736
184	2433	10718
185	2444	10696
186	2454	10673
187	2465	10650
188	2476	10626
189	2487	10604
190	2498	10581
191	2510	10565
192	2521	10542
193	2532	10521
194	2543	10498
195	2552	10472
196	2564	10454
197	2577	10439
198	2589	10424
199	2601	10406
200	2614	10392
201	2627	10378
202	2639	10364
203	2652	10350
204	2665	10338
205	2678	10324
206	2691	10311
207	2704	10296
208	2714	10272
209	2726	10258
210	2739	10243
211	2751	10226
212	2764	10213
213	2776	10197
214	2788	10180
215	2799	10161
216	2811	10144
217	2824	10131
218	2836	10114
219	2847	10096
220	2859	10080
221	2872	10065
222	2884	10048
223	2895	10032
224	2908	10018
225	2921	10004
226	2934	9992
227	2945	9972
228	2956	9953
229	2966	9932
230	2976	9908
231	2987	9888
232	2997	9866
233	3007	9846
234	3018	9827
235	3028	9805
236	3040	9788
237	3051	9769
238	3061	9747
239	3072	9728
240	3083	9711
241	3095	9695
242	3107	9680
243	3119	9666
244	3131	9651
245	3144	9636
246	3155	9620
247	3167	9604
248	3176	9581
249	3187	9561
250	3198	9543
251	3208	9523
252	3219	9504
253	3230	9488
254	3241	9469
255	3252	9453
256	3265	9439
257	3277	9424
258	3288	9409
259	3300	9394
260	3312	9379
261	3324	9364
262	3336	9349
263	3349	9337
264	3361	9322
265	3374	9311
266	3386	9298
267	3399	9285
268	3411	9271
269	3424	9259
270	3436	9244
271	3448	9230
272	3460	9215
273	3471	9199
274	3484	9186
275	3496	9173
276	3508	9158
277	3520	9143
278	3533	9130
279	3545	9116
280	3557	9103
281	3569	9087
282	3580	9071
283	3592	9056
284	3604	9042
285	3615	9026
286	3629	9017
287	3643	9006
288	3655	8992
289	3667	8979
290	3680	8967
291	3692	8953
292	3704	8939
293	3716	8924
294	3728	8910
295	3740	8895
296	3752	8881
297	3764	8868
298	3776	8853
299	3788	8840
300	3800	8826
301	3812	8811
302	3825	8798
303	3837	8785
304	3849	8770
305	3860	8755
306	3872	8742
307	3884	8727
308	3896	8713
309	3908	8700
310	3920	8685
311	3932	8672
312	3944	8656
313	3955	8642
314	3967	8628
315	3979	8613
316	3991	8599
317	4003	8585
318	4015	8572
319	4026	8556
320	4039	8543
321	4049	8527
322	4059	8508
323	4070	8492
324	4081	8475
325	4092	8461
326	4104	8448
327	4118	8437
328	4131	8426
329	4144	8414
330	4157	8402
331	4169	8390
332	4182	8376
333	4195	8365
334	4206	8350
335	4219	8338
336	4232	8325
337	4243	8311
338	4255	8297
339	4268	8286
340	4281	8273
341	4292	8259
342	4305	8247
343	4318	8236
344	4331	8223
345	4343	8210
346	4354	8193
347	4366	8181
348	4377	8165
349	4387	8148
350	4399	8134
351	4410	8119
352	4421	8103
353	4431	8087
354	4442	8072
355	4452	8054
356	4462	8037
357	4472	8020
358	4482	8003
359	4493	7988
360	4503	7971
361	4513	7955
362	4524	7939
363	4533	7922
364	4544	7905
365	4556	7892
366	4567	7877
367	4577	7861
368	4588	7846
369	4599	7831
370	4610	7817
371	4622	7803
372	4632	7787
373	4643	7771
374	4653	7756
375	4663	7739
376	4674	7724
377	4685	7709
378	4696	7695
379	4708	7681
380	4718	7666
381	4729	7651
382	4741	7638
383	4753	7625
384	4764	7611
385	4776	7598
386	4788	7585
387	4799	7570
388	4811	7557
389	4824	7545
390	4836	7533
391	4848	7520
392	4859	7506
393	4872	7493
394	4883	7479
395	4894	7465
396	4906	7452
397	4919	7440
398	4931	7427
399	4942	7413
400	4952	7397
401	4962	7381
402	4972	7366
403	4983	7352
404	4993	7336
405	5004	7321
406	5016	7308
407	5027	7294
408	5038	7280
409	5049	7266
410	5059	7250
411	5070	7236
412	5081	7222
413	5091	7206
414	5102	7192
415	5114	7179
416	5124	7164
417	5134	7149
418	5146	7135
419	5155	7120
420	5166	7106
421	5177	7091
422	5188	7076
423	5198	7062
424	5210	7048
425	5219	7033
426	5232	7021
427	5244	7008
428	5255	6995
429	5267	6983
430	5280	6970
431	5292	6958
432	5303	6945
433	5315	6932
434	5327	6919
435	5338	6906
436	5350	6893
437	5364	6882
438	5376	6870
439	5389	6859
440	5401	6847
441	5414	6835
442	5430	6828
443	5443	6816
444	5455	6804
445	5467	6791
446	5479	6779
447	5492	6767
448	5504	6755
449	5516	6742
450	5529	6731
451	5542	6720
452	5556	6709
453	5570	6699
454	5583	6688
455	5598	6678
456	5611	6667
457	5624	6656
458	5638	6646
459	5653	6636
460	5666	6624
461	5679	6613
462	5692	6602
463	5706	6591
464	5719	6580
465	5732	6569
466	5746	6558
467	5760	6547
468	5773	6536
469	5787	6525
470	5800	6514
471	5813	6503
472	5827	6492
473	5842	6482
